Title,Company,Location
Data Analyst (all genders),Sunday Natural,"Berlin, Berlin, Germany"
"Data Analyst / Decision Scientist, Digital Marketing",Vinted,"Berlin, Berlin, Germany"
Analytical Consultant (Fixed-Term Contract),Google,"Berlin, Berlin, Germany"
"Business Analyst (m/w/d), befristet bis 31.12.2025",Coca-Cola Europacific Partners,"Berlin, Berlin, Germany"
Junior Social Media Analyst (w/m/d),TLGG Agency,"Berlin, Berlin, Germany"
Data Analyst Salesforce Data Cloud - Marketing (all genders),adesso SE,"Berlin, Berlin, Germany"
Marketing Analyst (m/f/d),Wayfair,"Berlin, Berlin, Germany"
"Analytical Consultant, Large Customer Sales, Retail (Fixed-Term Contract)",Google,"Berlin, Berlin, Germany"
Power BI Report Designer (d/f/m),Ottobock,"Berlin, Berlin, Germany"
Marketing Analyst (w/m/d),HeyJobs,"Berlin, Germany"
Businessanalyst*in (m/w/div),Deutsche Rentenversicherung Bund,"Berlin, Berlin, Germany"
Performance Marketing Analyst - 24 Month Contract,Audible,"Berlin, Germany"
Marketing Business Analyst,NeoTaste,"Berlin, Berlin, Germany"
Senior Social Media Analyst (f/m/d),TLGG Agency,"Berlin, Berlin, Germany"
Mitarbeiter Controlling (m/w),Collaborative Marketing Club - CMC GmbH,"Berlin, Berlin, Germany"
Business Analyst (m/w/d)-43_CL_27_2,NoAcademy (by Moyyn),"Berlin, Berlin, Germany"
Senior Analyst (Commercial & Marketplace),Instapro Group,"Berlin, Berlin, Germany"
Business Analyst (m/f/d) with AI Expertise,Aroundtown,"Berlin, Germany"
Market Analyst / Research Analyst (m/w/d),Engel & Völkers Commercial Berlin,"Berlin, Berlin, Germany"
Business Analyst (m/f/d),Aroundtown,"Berlin, Berlin, Germany"
Business Analyst (m/w/div),Deutsche Rentenversicherung Bund,"Berlin, Berlin, Germany"
Product Research Analyst,StriveNest,"Berlin, Berlin, Germany"
Publicis Media Senior Web Analyst (m/w/d) - Berlin,Publicis Media Germany,"Berlin, Germany"
Visiting Analyst (m/f/d),PT1,"Berlin, Berlin, Germany"
Business Analyst (m/f/d) PropTech & Innovation,Aroundtown,"Berlin, Berlin, Germany"
AMS Europe Business Analyst Platform Solutions,Avaloq,"Berlin, Berlin, Germany"
B2B Marketing Analyst - freelance,9am,"Berlin, Germany"
Business Analyst (m/w/d) - Schwerpunkt Digitaler Kundenservice - Voicebot,E.ON,"Potsdam, Brandenburg, Germany"
Growth & Expansion Analyst (w/m/d),Enpal,"Berlin, Berlin, Germany"
Business Analyst / Bankkaufmann (m/w/d) – Datenqualität in der Banksteuerung,Sparkassen Rating und Risikosysteme,"Berlin, Berlin, Germany"
Business Analyst (w/m/d) - Sales Operations,smava,"Berlin, Germany"
AMS Europe Business Analyst L2 Banking Core,Avaloq,"Berlin, Berlin, Germany"
Business Analyst / IT Requirements Engineer (all genders),PŸUR | Tele Columbus,"Berlin, Berlin, Germany"
Business Analyst (m/f/d),Inkitt,"Berlin, Berlin, Germany"
Business AnalystIn,lawpilots,"Berlin, Berlin, Germany"
Business Analyst - Transactional (Level 2),Avaloq,"Berlin, Berlin, Germany"
"Business Analyst (m/w/d) - Schwerpunkt Digitaler Kundenservice - Voicebot (Potsdam, DE)",Oil and Gas Job Search Ltd,"Potsdam, Brandenburg, Germany"
Duales Studium BWL (B.A.) am Campus oder virtuell,IU International University of Applied Sciences,"Potsdam, Brandenburg, Germany"
Business Analyst Entgeltabrechnung (m/w/d) Familiäre Atmosphäre | Full Remote,Kooku Recruiting GmbH,"Berlin, Berlin, Germany"
Business Analyst (m/f/d) with AI Expertise,Aroundtown,"Berlin, Berlin, Germany"
Business Analyst Onsite Campaign & Content (m/w/d) // Remote möglich,Breuninger,"Berlin, Berlin, Germany"
Business Analyst (m/w/div),Deutsche Rentenversicherung Bund,"Berlin, Germany"
Business Analyst (m/w/d) Digital Service,E.ON,"Potsdam, Brandenburg, Germany"
Duales Studium BWL (B.A.) am Campus oder virtuell,IU International University of Applied Sciences,"Berlin, Berlin, Germany"
Marketing Performance Senior FP&A Analyst,GetYourGuide,"Berlin, Berlin, Germany"
"Business Analyst (m/w/d) Digital Service (Potsdam, DE)",Oil and Gas Job Search Ltd,"Potsdam, Brandenburg, Germany"
"Business Analyst - Commercial Development, DAS EMEIA",ASSA ABLOY Group,"Berlin, Berlin, Germany"
AMS Europe Business Analyst Platform Solutions,myGwork - LGBTQ+ Business Community,"Berlin, Berlin, Germany"
Business Analyst (m/w/d),CBTW,"Berlin, Berlin, Germany"
Business Analyst* - Trade Finance,Capco,"Berlin, Berlin, Germany"
Business Analyst / IT-Solution Designer Security Solutions (m/w/d),Atruvia AG,"Berlin, Berlin, Germany"
Business Analyst* - Trade Finance Technical,Capco,"Berlin, Berlin, Germany"
Business Process Analyst (Manufacturing) @ Deltia,Merantix Capital,"Berlin, Berlin, Germany"
Business Analyst / Banking (m/w/d),msg for banking ag,"Berlin, Berlin, Germany"
Berater Technology Business Analysis - Technology Strategy & Transformation (w/m/d),EY,"Berlin, Berlin, Germany"
Business Analyst Abrechnungssteuerung (m/w/d),Techem Energy Services GmbH,"Berlin, Berlin, Germany"
D365 F&O Business Analyst (SCM),InterEx Group,"Berlin, Germany"
Business Analyst / Consultant Cloud Integration (m/w/d),Deloitte,"Berlin, Berlin, Germany"
Business Analyst Public Sector (d/w/m),Detecon,"Berlin, Berlin, Germany"
Business Analyst Commercial Effectiveness im Innendienst m/w/d,IQVIA,"Berlin, Berlin, Germany"
AMS Europe Business Analyst Platform Solutions,Avaloq,"Berlin, Berlin, Germany"
B2B Marketing Analyst - freelance,9am,"Berlin, Germany"
Business Analyst (m/w/d) - Schwerpunkt Digitaler Kundenservice - Voicebot,E.ON,"Potsdam, Brandenburg, Germany"
Growth & Expansion Analyst (w/m/d),Enpal,"Berlin, Berlin, Germany"
Business Analyst / Bankkaufmann (m/w/d) – Datenqualität in der Banksteuerung,Sparkassen Rating und Risikosysteme,"Berlin, Berlin, Germany"
Business Analyst (w/m/d) - Sales Operations,smava,"Berlin, Germany"
AMS Europe Business Analyst L2 Banking Core,Avaloq,"Berlin, Berlin, Germany"
Business Analyst / IT Requirements Engineer (all genders),PŸUR | Tele Columbus,"Berlin, Berlin, Germany"
Business Analyst (m/f/d),Inkitt,"Berlin, Berlin, Germany"
Business AnalystIn,lawpilots,"Berlin, Berlin, Germany"
Data Analyst (all genders),Sunday Natural,"Berlin, Berlin, Germany"
"Data Analyst / Decision Scientist, Digital Marketing",Vinted,"Berlin, Berlin, Germany"
Analytical Consultant (Fixed-Term Contract),Google,"Berlin, Berlin, Germany"
"Business Analyst (m/w/d), befristet bis 31.12.2025",Coca-Cola Europacific Partners,"Berlin, Berlin, Germany"
Junior Social Media Analyst (w/m/d),TLGG Agency,"Berlin, Berlin, Germany"
Data Analyst Salesforce Data Cloud - Marketing (all genders),adesso SE,"Berlin, Berlin, Germany"
Marketing Analyst (m/f/d),Wayfair,"Berlin, Berlin, Germany"
"Analytical Consultant, Large Customer Sales, Retail (Fixed-Term Contract)",Google,"Berlin, Berlin, Germany"
Power BI Report Designer (d/f/m),Ottobock,"Berlin, Berlin, Germany"
Marketing Analyst (w/m/d),HeyJobs,"Berlin, Germany"
Businessanalyst*in (m/w/div),Deutsche Rentenversicherung Bund,"Berlin, Berlin, Germany"
Performance Marketing Analyst - 24 Month Contract,Audible,"Berlin, Germany"
Marketing Business Analyst,NeoTaste,"Berlin, Berlin, Germany"
Senior Social Media Analyst (f/m/d),TLGG Agency,"Berlin, Berlin, Germany"
Mitarbeiter Controlling (m/w),Collaborative Marketing Club - CMC GmbH,"Berlin, Berlin, Germany"
Business Analyst (m/w/d)-43_CL_27_2,NoAcademy (by Moyyn),"Berlin, Berlin, Germany"
Senior Analyst (Commercial & Marketplace),Instapro Group,"Berlin, Berlin, Germany"
Business Analyst (m/f/d) with AI Expertise,Aroundtown,"Berlin, Germany"
Market Analyst / Research Analyst (m/w/d),Engel & Völkers Commercial Berlin,"Berlin, Berlin, Germany"
Business Analyst (m/f/d),Aroundtown,"Berlin, Berlin, Germany"
Business Analyst (m/w/div),Deutsche Rentenversicherung Bund,"Berlin, Berlin, Germany"
Product Research Analyst,StriveNest,"Berlin, Berlin, Germany"
Publicis Media Senior Web Analyst (m/w/d) - Berlin,Publicis Media Germany,"Berlin, Germany"
Visiting Analyst (m/f/d),PT1,"Berlin, Berlin, Germany"
Business Analyst (m/f/d) PropTech & Innovation,Aroundtown,"Berlin, Berlin, Germany"
AMS Europe Business Analyst Platform Solutions,Avaloq,"Berlin, Berlin, Germany"
B2B Marketing Analyst - freelance,9am,"Berlin, Germany"
Business Analyst (m/w/d) - Schwerpunkt Digitaler Kundenservice - Voicebot,E.ON,"Potsdam, Brandenburg, Germany"
Growth & Expansion Analyst (w/m/d),Enpal,"Berlin, Berlin, Germany"
Business Analyst / Bankkaufmann (m/w/d) – Datenqualität in der Banksteuerung,Sparkassen Rating und Risikosysteme,"Berlin, Berlin, Germany"
Business Analyst (w/m/d) - Sales Operations,smava,"Berlin, Germany"
AMS Europe Business Analyst L2 Banking Core,Avaloq,"Berlin, Berlin, Germany"
Business Analyst / IT Requirements Engineer (all genders),PŸUR | Tele Columbus,"Berlin, Berlin, Germany"
Business Analyst (m/f/d),Inkitt,"Berlin, Berlin, Germany"
Business AnalystIn,lawpilots,"Berlin, Berlin, Germany"
Business Analyst - Transactional (Level 2),Avaloq,"Berlin, Berlin, Germany"
"Business Analyst (m/w/d) - Schwerpunkt Digitaler Kundenservice - Voicebot (Potsdam, DE)",Oil and Gas Job Search Ltd,"Potsdam, Brandenburg, Germany"
Duales Studium BWL (B.A.) am Campus oder virtuell,IU International University of Applied Sciences,"Potsdam, Brandenburg, Germany"
Business Analyst Entgeltabrechnung (m/w/d) Familiäre Atmosphäre | Full Remote,Kooku Recruiting GmbH,"Berlin, Berlin, Germany"
Business Analyst (m/f/d) with AI Expertise,Aroundtown,"Berlin, Berlin, Germany"
Business Analyst Onsite Campaign & Content (m/w/d) // Remote möglich,Breuninger,"Berlin, Berlin, Germany"
Business Analyst (m/w/div),Deutsche Rentenversicherung Bund,"Berlin, Germany"
Business Analyst (m/w/d) Digital Service,E.ON,"Potsdam, Brandenburg, Germany"
Duales Studium BWL (B.A.) am Campus oder virtuell,IU International University of Applied Sciences,"Berlin, Berlin, Germany"
Marketing Performance Senior FP&A Analyst,GetYourGuide,"Berlin, Berlin, Germany"
"Business Analyst (m/w/d) Digital Service (Potsdam, DE)",Oil and Gas Job Search Ltd,"Potsdam, Brandenburg, Germany"
"Business Analyst - Commercial Development, DAS EMEIA",ASSA ABLOY Group,"Berlin, Berlin, Germany"
AMS Europe Business Analyst Platform Solutions,myGwork - LGBTQ+ Business Community,"Berlin, Berlin, Germany"
Business Analyst (m/w/d),CBTW,"Berlin, Berlin, Germany"
Business Analyst* - Trade Finance,Capco,"Berlin, Berlin, Germany"
Business Analyst / IT-Solution Designer Security Solutions (m/w/d),Atruvia AG,"Berlin, Berlin, Germany"
Business Analyst* - Trade Finance Technical,Capco,"Berlin, Berlin, Germany"
Business Process Analyst (Manufacturing) @ Deltia,Merantix Capital,"Berlin, Berlin, Germany"
Business Analyst / Banking (m/w/d),msg for banking ag,"Berlin, Berlin, Germany"
Berater Technology Business Analysis - Technology Strategy & Transformation (w/m/d),EY,"Berlin, Berlin, Germany"
Business Analyst Abrechnungssteuerung (m/w/d),Techem Energy Services GmbH,"Berlin, Berlin, Germany"
D365 F&O Business Analyst (SCM),InterEx Group,"Berlin, Germany"
Business Analyst / Consultant Cloud Integration (m/w/d),Deloitte,"Berlin, Berlin, Germany"
Business Analyst Public Sector (d/w/m),Detecon,"Berlin, Berlin, Germany"
Business Analyst Commercial Effectiveness im Innendienst m/w/d,IQVIA,"Berlin, Berlin, Germany"
AMS Europe Business Analyst Platform Solutions,Avaloq,"Berlin, Berlin, Germany"
B2B Marketing Analyst - freelance,9am,"Berlin, Germany"
Business Analyst (m/w/d) - Schwerpunkt Digitaler Kundenservice - Voicebot,E.ON,"Potsdam, Brandenburg, Germany"
Growth & Expansion Analyst (w/m/d),Enpal,"Berlin, Berlin, Germany"
Business Analyst / Bankkaufmann (m/w/d) – Datenqualität in der Banksteuerung,Sparkassen Rating und Risikosysteme,"Berlin, Berlin, Germany"
Business Analyst (w/m/d) - Sales Operations,smava,"Berlin, Germany"
AMS Europe Business Analyst L2 Banking Core,Avaloq,"Berlin, Berlin, Germany"
Business Analyst / IT Requirements Engineer (all genders),PŸUR | Tele Columbus,"Berlin, Berlin, Germany"
Business Analyst (m/f/d),Inkitt,"Berlin, Berlin, Germany"
Business AnalystIn,lawpilots,"Berlin, Berlin, Germany"
